SliceLocation,SliceThickness,SpacingBetweenSlices,ImagePositionPatient,InstanceNumber,PixelSpacing
-27.9407653809,2.0,1.0,"[-130, -125.9024353, -27.9407654]",85,"[0.5078, 0.5078]"
-27.9407653809,2.0,1.0,"[-130, -125.9024353, -27.9407654]",85,"[0.5078, 0.5078]"
-47.9407653809,2.0,1.0,"[-130, -125.9024353, -47.9407654]",65,"[0.5078, 0.5078]"
-47.9407653809,2.0,1.0,"[-130, -125.9024353, -47.9407654]",65,"[0.5078, 0.5078]"
85.0592346191,2.0,1.0,"[-130, -125.9024353, 85.0592346]",198,"[0.5078, 0.5078]"
85.0592346191,2.0,1.0,"[-130, -125.9024353, 85.0592346]",198,"[0.5078, 0.5078]"
-58.9407653809,2.0,1.0,"[-130, -125.9024353, -58.9407654]",54,"[0.5078, 0.5078]"
-58.9407653809,2.0,1.0,"[-130, -125.9024353, -58.9407654]",54,"[0.5078, 0.5078]"
50.0592346191,2.0,1.0,"[-130, -125.9024353, 50.0592346]",163,"[0.5078, 0.5078]"
50.0592346191,2.0,1.0,"[-130, -125.9024353, 50.0592346]",163,"[0.5078, 0.5078]"
-102.9407653809,2.0,1.0,"[-130, -125.9024353, -102.940765]",10,"[0.5078, 0.5078]"
-102.9407653809,2.0,1.0,"[-130, -125.9024353, -102.940765]",10,"[0.5078, 0.5078]"
61.0592346191,2.0,1.0,"[-130, -125.9024353, 61.0592346]",174,"[0.5078, 0.5078]"
