SliceLocation,SliceThickness,SpacingBetweenSlices,ImagePositionPatient,InstanceNumber,PixelSpacing
79.0592346191,2.0,1.0,"[-130, -125.9024353, 79.0592346]",192,"[0.5078, 0.5078]"
79.0592346191,2.0,1.0,"[-130, -125.9024353, 79.0592346]",192,"[0.5078, 0.5078]"
-52.9407653809,2.0,1.0,"[-130, -125.9024353, -52.9407654]",60,"[0.5078, 0.5078]"
-52.9407653809,2.0,1.0,"[-130, -125.9024353, -52.9407654]",60,"[0.5078, 0.5078]"
-51.9407653809,2.0,1.0,"[-130, -125.9024353, -51.9407654]",61,"[0.5078, 0.5078]"
-51.9407653809,2.0,1.0,"[-130, -125.9024353, -51.9407654]",61,"[0.5078, 0.5078]"
-98.9407653809,2.0,1.0,"[-130, -125.9024353, -98.9407654]",14,"[0.5078, 0.5078]"
-98.9407653809,2.0,1.0,"[-130, -125.9024353, -98.9407654]",14,"[0.5078, 0.5078]"
-59.9407653809,2.0,1.0,"[-130, -125.9024353, -59.9407654]",53,"[0.5078, 0.5078]"
-59.9407653809,2.0,1.0,"[-130, -125.9024353, -59.9407654]",53,"[0.5078, 0.5078]"
-69.9407653809,2.0,1.0,"[-130, -125.9024353, -69.9407654]",43,"[0.5078, 0.5078]"
-69.9407653809,2.0,1.0,"[-130, -125.9024353, -69.9407654]",43,"[0.5078, 0.5078]"
-61.9407653809,2.0,1.0,"[-130, -125.9024353, -61.9407654]",51,"[0.5078, 0.5078]"
-61.9407653809,2.0,1.0,"[-130, -125.9024353, -61.9407654]",51,"[0.5078, 0.5078]"
0.0592346191,2.0,1.0,"[-130, -125.9024353, 0.0592346191]",113,"[0.5078, 0.5078]"
0.0592346191,2.0,1.0,"[-130, -125.9024353, 0.0592346191]",113,"[0.5078, 0.5078]"
-91.9407653809,2.0,1.0,"[-130, -125.9024353, -91.9407654]",21,"[0.5078, 0.5078]"
-91.9407653809,2.0,1.0,"[-130, -125.9024353, -91.9407654]",21,"[0.5078, 0.5078]"
12.0592346191,2.0,1.0,"[-130, -125.9024353, 12.0592346]",125,"[0.5078, 0.5078]"
12.0592346191,2.0,1.0,"[-130, -125.9024353, 12.0592346]",125,"[0.5078, 0.5078]"
14.0592346191,2.0,1.0,"[-130, -125.9024353, 14.0592346]",127,"[0.5078, 0.5078]"
14.0592346191,2.0,1.0,"[-130, -125.9024353, 14.0592346]",127,"[0.5078, 0.5078]"
38.0592346191,2.0,1.0,"[-130, -125.9024353, 38.0592346]",151,"[0.5078, 0.5078]"
38.0592346191,2.0,1.0,"[-130, -125.9024353, 38.0592346]",151,"[0.5078, 0.5078]"
-105.9407653809,2.0,1.0,"[-130, -125.9024353, -105.940765]",7,"[0.5078, 0.5078]"
-105.9407653809,2.0,1.0,"[-130, -125.9024353, -105.940765]",7,"[0.5078, 0.5078]"
90.0592346191,2.0,1.0,"[-130, -125.9024353, 90.0592346]",203,"[0.5078, 0.5078]"
90.0592346191,2.0,1.0,"[-130, -125.9024353, 90.0592346]",203,"[0.5078, 0.5078]"
-9.9407653809,2.0,1.0,"[-130, -125.9024353, -9.94076538]",103,"[0.5078, 0.5078]"
-9.9407653809,2.0,1.0,"[-130, -125.9024353, -9.94076538]",103,"[0.5078, 0.5078]"
-49.9407653809,2.0,1.0,"[-130, -125.9024353, -49.9407654]",63,"[0.5078, 0.5078]"
-49.9407653809,2.0,1.0,"[-130, -125.9024353, -49.9407654]",63,"[0.5078, 0.5078]"
56.0592346191,2.0,1.0,"[-130, -125.9024353, 56.0592346]",169,"[0.5078, 0.5078]"
56.0592346191,2.0,1.0,"[-130, -125.9024353, 56.0592346]",169,"[0.5078, 0.5078]"
25.0592346191,2.0,1.0,"[-130, -125.9024353, 25.0592346]",138,"[0.5078, 0.5078]"
25.0592346191,2.0,1.0,"[-130, -125.9024353, 25.0592346]",138,"[0.5078, 0.5078]"
-22.9407653809,2.0,1.0,"[-130, -125.9024353, -22.9407654]",90,"[0.5078, 0.5078]"
-22.9407653809,2.0,1.0,"[-130, -125.9024353, -22.9407654]",90,"[0.5078, 0.5078]"
-77.9407653809,2.0,1.0,"[-130, -125.9024353, -77.9407654]",35,"[0.5078, 0.5078]"
-77.9407653809,2.0,1.0,"[-130, -125.9024353, -77.9407654]",35,"[0.5078, 0.5078]"
-62.9407653809,2.0,1.0,"[-130, -125.9024353, -62.9407654]",50,"[0.5078, 0.5078]"
